cluster,views,likes,dislikes,comment_count
0,843647.749715262,17515.80410022779,1107.3009681093395,1442.1702733485195
1,968944.2776243094,44319.68093922652,1719.6151012891344,3803.9295580110497
2,2469253.5290472503,82818.14020139427,3273.042602633617,7932.568551510457
3,1831349.6716589862,46096.55299539171,2007.6705069124423,4574.5610599078345
4,1083976.614690193,24111.78744357817,1326.3885925318014,2436.177677472302
5,939484.8421361502,17296.293427230048,1091.305164319249,1613.918427230047
6,1088108.7143661971,26491.80112676056,1146.647323943662,2084.8180281690143
7,465842.3665768194,8783.220125786163,543.6451033243486,744.5094339622641
8,1051912.1315649867,22090.288594164456,1223.6270557029177,1845.5824933687002
9,1636456.3260572988,40005.511596180084,3500.2912687585267,4926.435879945429
10,772488.5264623956,10889.266480965645,965.7729805013928,1114.1908077994428
11,2029811.188703466,69085.76829268293,3135.5314505776637,6979.288189987163
12,1014262.0601851852,23933.663194444445,1062.7366898148148,2335.8738425925926
13,859939.2266782912,13926.455972101134,884.5422842197036,1332.7567567567567
14,1078545.5068778659,25925.08878699458,4547.846602751147,3727.8582742809504
15,812838.5365329513,17639.065902578797,1112.339541547278,1414.9563037249284
16,880318.2422145329,17057.41868512111,1185.0895328719723,2461.3793252595156
17,787087.9772888573,28611.877217885023,1477.3562810503904,2844.6983676366217
18,1086843.09306637,27523.576195773083,1704.533185020393,2325.9651464590283
19,653985.2130801688,17109.739451476795,927.8554852320675,1279.7700421940929
